experiment,metric_type,variant,day,users,conversions,revenue
checkout_button_color,conversion,control,1,965,34,0
checkout_button_color,conversion,treatment,1,999,61,0
checkout_button_color,conversion,control,2,1069,57,0
checkout_button_color,conversion,treatment,2,934,42,0
checkout_button_color,conversion,control,3,968,42,0
checkout_button_color,conversion,treatment,3,932,41,0
checkout_button_color,conversion,control,4,806,25,0
checkout_button_color,conversion,treatment,4,846,44,0
checkout_button_color,conversion,control,5,866,33,0
checkout_button_color,conversion,treatment,5,876,46,0
checkout_button_color,conversion,control,6,1161,44,0
checkout_button_color,conversion,treatment,6,1105,49,0
checkout_button_color,conversion,control,7,1078,42,0
checkout_button_color,conversion,treatment,7,1081,49,0
checkout_button_color,conversion,control,8,1014,44,0
checkout_button_color,conversion,treatment,8,971,49,0
checkout_button_color,conversion,control,9,996,38,0
checkout_button_color,conversion,treatment,9,899,42,0
checkout_button_color,conversion,control,10,945,43,0
checkout_button_color,conversion,treatment,10,1166,67,0
checkout_button_color,conversion,control,11,1091,53,0
checkout_button_color,conversion,treatment,11,932,41,0
checkout_button_color,conversion,control,12,1080,50,0
checkout_button_color,conversion,treatment,12,1087,65,0
checkout_button_color,conversion,control,13,867,35,0
checkout_button_color,conversion,treatment,13,1007,42,0
checkout_button_color,conversion,control,14,1043,39,0
checkout_button_color,conversion,treatment,14,1138,54,0
checkout_button_color,conversion,control,15,1137,41,0
checkout_button_color,conversion,treatment,15,1197,68,0
checkout_button_color,conversion,control,16,847,39,0
checkout_button_color,conversion,treatment,16,945,41,0
checkout_button_color,conversion,control,17,964,40,0
checkout_button_color,conversion,treatment,17,956,49,0
checkout_button_color,conversion,control,18,1092,42,0
checkout_button_color,conversion,treatment,18,1090,61,0
checkout_button_color,conversion,control,19,1000,51,0
checkout_button_color,conversion,treatment,19,1013,52,0
checkout_button_color,conversion,control,20,939,37,0
checkout_button_color,conversion,treatment,20,1127,50,0
checkout_button_color,conversion,control,21,1085,36,0
checkout_button_color,conversion,treatment,21,1067,58,0
checkout_button_color,conversion,control,22,814,35,0
checkout_button_color,conversion,treatment,22,932,58,0
checkout_button_color,conversion,control,23,855,38,0
checkout_button_color,conversion,treatment,23,1193,75,0
checkout_button_color,conversion,control,24,889,38,0
checkout_button_color,conversion,treatment,24,955,50,0
checkout_button_color,conversion,control,25,995,49,0
checkout_button_color,conversion,treatment,25,1134,53,0
checkout_button_color,conversion,control,26,1038,43,0
checkout_button_color,conversion,treatment,26,1133,61,0
checkout_button_color,conversion,control,27,916,29,0
checkout_button_color,conversion,treatment,27,855,54,0
checkout_button_color,conversion,control,28,865,42,0
checkout_button_color,conversion,treatment,28,854,48,0
checkout_button_color,conversion,control,29,834,34,0
checkout_button_color,conversion,treatment,29,964,37,0
checkout_button_color,conversion,control,30,963,38,0
checkout_button_color,conversion,treatment,30,867,53,0
pricing_page_layout,conversion,control,1,813,46,0
pricing_page_layout,conversion,treatment,1,1085,52,0
pricing_page_layout,conversion,control,2,843,54,0
pricing_page_layout,conversion,treatment,2,1177,76,0
pricing_page_layout,conversion,control,3,1147,72,0
pricing_page_layout,conversion,treatment,3,866,54,0
pricing_page_layout,conversion,control,4,885,58,0
pricing_page_layout,conversion,treatment,4,963,52,0
pricing_page_layout,conversion,control,5,883,47,0
pricing_page_layout,conversion,treatment,5,1132,68,0
pricing_page_layout,conversion,control,6,1088,75,0
pricing_page_layout,conversion,treatment,6,909,61,0
pricing_page_layout,conversion,control,7,985,58,0
pricing_page_layout,conversion,treatment,7,898,63,0
pricing_page_layout,conversion,control,8,803,53,0
pricing_page_layout,conversion,treatment,8,1159,62,0
pricing_page_layout,conversion,control,9,981,62,0
pricing_page_layout,conversion,treatment,9,1127,58,0
pricing_page_layout,conversion,control,10,1162,71,0
pricing_page_layout,conversion,treatment,10,1188,82,0
pricing_page_layout,conversion,control,11,988,59,0
pricing_page_layout,conversion,treatment,11,1075,67,0
pricing_page_layout,conversion,control,12,1022,63,0
pricing_page_layout,conversion,treatment,12,959,51,0
pricing_page_layout,conversion,control,13,1137,82,0
pricing_page_layout,conversion,treatment,13,873,68,0
pricing_page_layout,conversion,control,14,1070,74,0
pricing_page_layout,conversion,treatment,14,856,56,0
pricing_page_layout,conversion,control,15,1178,68,0
pricing_page_layout,conversion,treatment,15,1022,67,0
pricing_page_layout,conversion,control,16,1183,74,0
pricing_page_layout,conversion,treatment,16,1093,60,0
pricing_page_layout,conversion,control,17,970,62,0
pricing_page_layout,conversion,treatment,17,854,44,0
pricing_page_layout,conversion,control,18,951,59,0
pricing_page_layout,conversion,treatment,18,914,56,0
pricing_page_layout,conversion,control,19,1137,56,0
pricing_page_layout,conversion,treatment,19,1103,77,0
pricing_page_layout,conversion,control,20,1059,78,0
pricing_page_layout,conversion,treatment,20,1115,68,0
pricing_page_layout,conversion,control,21,1139,66,0
pricing_page_layout,conversion,treatment,21,1032,64,0
premium_upsell_banner,revenue,control,1,594,0,1829.85
premium_upsell_banner,revenue,treatment,1,423,0,1579.44
premium_upsell_banner,revenue,control,2,557,0,1753.33
premium_upsell_banner,revenue,treatment,2,563,0,1843.92
premium_upsell_banner,revenue,control,3,433,0,1535.21
premium_upsell_banner,revenue,treatment,3,591,0,2669.56
premium_upsell_banner,revenue,control,4,495,0,1992.39
premium_upsell_banner,revenue,treatment,4,592,0,2124.61
premium_upsell_banner,revenue,control,5,483,0,1497.11
premium_upsell_banner,revenue,treatment,5,489,0,1552.36
premium_upsell_banner,revenue,control,6,514,0,1427.16
premium_upsell_banner,revenue,treatment,6,519,0,1515.79
premium_upsell_banner,revenue,control,7,474,0,1767.98
premium_upsell_banner,revenue,treatment,7,540,0,2515.13
premium_upsell_banner,revenue,control,8,509,0,2077.84
premium_upsell_banner,revenue,treatment,8,600,0,2290.12
premium_upsell_banner,revenue,control,9,481,0,1253.31
premium_upsell_banner,revenue,treatment,9,477,0,1507.64
premium_upsell_banner,revenue,control,10,499,0,1584.03
premium_upsell_banner,revenue,treatment,10,523,0,1545.36
premium_upsell_banner,revenue,control,11,529,0,1572.19
premium_upsell_banner,revenue,treatment,11,509,0,1805.96
premium_upsell_banner,revenue,control,12,455,0,1401.22
premium_upsell_banner,revenue,treatment,12,537,0,1922.51
premium_upsell_banner,revenue,control,13,517,0,1711.23
premium_upsell_banner,revenue,treatment,13,582,0,1839.61
premium_upsell_banner,revenue,control,14,551,0,1829.82
premium_upsell_banner,revenue,treatment,14,471,0,1944.03
premium_upsell_banner,revenue,control,15,432,0,1563.43
premium_upsell_banner,revenue,treatment,15,541,0,2079.75
premium_upsell_banner,revenue,control,16,550,0,1796.4
premium_upsell_banner,revenue,treatment,16,521,0,1723.07
premium_upsell_banner,revenue,control,17,498,0,1868.91
premium_upsell_banner,revenue,treatment,17,510,0,1920.5
premium_upsell_banner,revenue,control,18,401,0,1490.3
premium_upsell_banner,revenue,treatment,18,453,0,1524.06
premium_upsell_banner,revenue,control,19,481,0,1544.12
premium_upsell_banner,revenue,treatment,19,526,0,2028.55
premium_upsell_banner,revenue,control,20,425,0,1162.85
premium_upsell_banner,revenue,treatment,20,536,0,1574.75
premium_upsell_banner,revenue,control,21,464,0,2075.89
premium_upsell_banner,revenue,treatment,21,494,0,1701.67
premium_upsell_banner,revenue,control,22,549,0,1953.26
premium_upsell_banner,revenue,treatment,22,560,0,1861.45
premium_upsell_banner,revenue,control,23,513,0,1524.18
premium_upsell_banner,revenue,treatment,23,519,0,2117.34
premium_upsell_banner,revenue,control,24,414,0,1120.43
premium_upsell_banner,revenue,treatment,24,586,0,2468.99
premium_upsell_banner,revenue,control,25,569,0,1582.89
premium_upsell_banner,revenue,treatment,25,543,0,2112.61
